YEAR;TMAX;TMIN;TMED
1972;13.5;7;10.1
1972;11.5;7;10.7
1972;19.2;10;13.9
1972;20.2;11.5;15.3
1972;23;10;17.8
1972;24;13;18.9
1972;26;13;17.9
1972;24;10;17.7
1972;24.5;11.5;17.7
1972;22.3;9.5;15.1
1972;19.3;3.4;13.4
1972;26.5;8;17.5
1972;24.2;13;17.8
1972;20.1;12.5;16.4
1972;18.8;9;13.6
1972;12.5;6;8.7
1972;13;2.1;8.9
1972;18;5.6;13
1972;20;7;13.9
1972;19.5;5;13.1
1972;16.5;7;11.7
1972;21.2;6.2;14.5
1972;22.5;8.5;16.7
1972;17;8;12.7
1972;18.5;3;12.3
1972;21.7;9;16.2
1972;23;11;17.1
1972;19.5;11;14.6
1972;17;8.5;15
1972;21;13.5;17.2
1972;19.5;12;14.6
1972;22.4;10.5;16.3
1972;19.5;8;13.5
1972;15.5;5;10.8
1972;14.5;8;10.8
1972;16.7;9.5;13.2
1972;17;7;12.8
1972;21;5.9;13.3
1972;19;9.5;12.9
1972;21.6;2;12.7
1972;19;4;11.7
1972;24;4;16.3
1972;23.2;10;17.7
1972;24.2;9;16.2
1972;23.5;13;17.4
1972;29.5;12;21.3
1972;23.9;10;20.1
1972;20.2;10.5;16.7
1972;20.8;9.5;18.5
1972;20;9.2;13.6
1972;22.5;9.5;16.4
1972;25;13.6;19.5
1972;23;15.9;18.1
1972;21.5;17;17.7
1972;21;10;16
1972;22.5;10;16.2
1972;26;9.5;19
1972;30;15;21.9
1972;26;14.9;17.5
1972;22.5;12.2;17
1972;22.5;8;15.5
1972;23;10;16.1
1972;24;11;17.4
1972;28.5;14;19.3
1972;27.6;16;18.1
1972;20.5;13.8;17.3
1972;29.5;15.3;21.5
1972;29.5;16;22.5
1972;29.8;17.2;23.6
1972;31;17.3;24
1972;31;14.9;23.5
1972;30;18.7;22.4
1972;19;12;14.6
1972;13.5;10;11.7
1972;15;12;14.6
1972;21;13;17.6
1972;26;13.5;18.9
1972;25;15;20.1
1972;24;16.5;19.1
1972;26.5;13.4;19.5
1972;28.5;13.9;20.4
1973;27.6;13;19.8
1973;28;11.5;17
1973;26;10.5;18.1
1973;28.8;16;21
1973;21.7;12;15.8
1973;23;6.3;15.2
1973;22.7;14.6;17
1973;24.5;7.3;16.4
1973;30.5;12.8;21.9
1973;33.4;14.5;23.5
1973;35.8;18.4;28.4
1973;28.2;18.5;20.8
1973;18.3;12;14.1
1973;19;9.5;14.4
1973;30.3;11;21.1
1973;29.5;14;23.1
1973;32.6;17;23.6
1973;28.9;10.8;17.3
1973;26.2;12.5;19.9
1973;28;10.4;20.6
1973;28.8;13.2;22.2
1973;33.1;19.5;23.2
1973;25.8;14.7;17.1
1973;21.4;8;14.1
1973;21.7;7.3;15.5
1973;25.5;11;18.9
1973;31.8;14.2;20
1973;21;9.5;15.3
1973;26.5;12.8;20.2
1973;30.3;19;23.1
1973;28.3;19;19.8
1973;25.8;9.5;19.8
1973;28;20.5;22.5
1973;21;9.9;16.4
1973;22.1;7;15.5
1973;26;11.2;19
1973;27.7;13.5;20.7
1973;29.5;16;22.1
1973;32.6;15.9;21.9
1973;26;14.8;18.9
1973;27.7;12.6;19.6
1973;28;13.2;19.9
1973;24;11.6;18.5
1973;19.7;9.2;14.4
1973;24.5;6.8;16.2
1973;25.2;10.4;18.3
1973;26.7;10.9;19.7
